id,ticker,periodType,periodEnd,revenue,revenueSegments,revenueSegmentsByAxis
574b438660a64221866f0be9126a30c2,IBKR,QUARTERLY,2023-06-30,1000000000.0000,"{""Others"": 8000000.0, ""Commissions"": 322000000.0, ""FDIC Sweep Fees"": 4000000.0, ""Market Data Fees"": 18000000.0, ""Risk Exposure Fees"": 10000000.0, ""Payments For Order Flow"": 7000000.0}","{""product"": {""Others"": 8000000.0, ""Commissions"": 322000000.0, ""FDIC Sweep Fees"": 4000000.0, ""Market Data Fees"": 18000000.0, ""Risk Exposure Fees"": 10000000.0, ""Payments For Order Flow"": 7000000.0}, ""geography"": {""International"": 296000000.0, ""United States"": 704000000.0}}"
180f24e59b1a47aaa1df0f592492fcd8,IBKR,ANNUAL,2023-12-31,4340000000.0000,"{""Others"": 31000000.0, ""Commissions"": 1360000000.0, ""FDIC Sweep Fees"": 19000000.0, ""Market Data Fees"": 70000000.0, ""Risk Exposure Fees"": 46000000.0, ""Payments For Order Flow"": 31000000.0}","{""product"": {""Others"": 31000000.0, ""Commissions"": 1360000000.0, ""FDIC Sweep Fees"": 19000000.0, ""Market Data Fees"": 70000000.0, ""Risk Exposure Fees"": 46000000.0, ""Payments For Order Flow"": 31000000.0}, ""geography"": {""International"": 1312000000.0, ""United States"": 3028000000.0}}"
60904dfe44514f009b3ead7a7d50cfda,IBKR,QUARTERLY,2025-06-30,1480000000.0000,"{""Others"": 7000000.0, ""Commissions"": 516000000.0, ""FDIC Sweep Fees"": 9000000.0, ""Market Data Fees"": 20000000.0, ""Risk Exposure Fees"": 17000000.0, ""Payments For Order Flow"": 9000000.0}","{""product"": {""Others"": 7000000.0, ""Commissions"": 516000000.0, ""FDIC Sweep Fees"": 9000000.0, ""Market Data Fees"": 20000000.0, ""Risk Exposure Fees"": 17000000.0, ""Payments For Order Flow"": 9000000.0}, ""geography"": {""International"": 474000000.0, ""United States"": 1006000000.0}}"
a647714ec7f247d0a41fcf9d760f1f02,IBKR,ANNUAL,2025-12-31,6205000000.0000,"{""Others"": 44000000.0, ""Commissions"": 2149000000.0, ""FDIC Sweep Fees"": 37000000.0, ""Market Data Fees"": 79000000.0, ""Risk Exposure Fees"": 80000000.0, ""Payments For Order Flow"": 51000000.0}","{""product"": {""Others"": 44000000.0, ""Commissions"": 2149000000.0, ""FDIC Sweep Fees"": 37000000.0, ""Market Data Fees"": 79000000.0, ""Risk Exposure Fees"": 80000000.0, ""Payments For Order Flow"": 51000000.0}, ""geography"": {""International"": 1881000000.0, ""United States"": 4324000000.0}}"
65d4be8674ac4ea196b8b86538376b73,MET,QUARTERLY,2023-06-30,16623000000.0000,"{""Prepaid legal plans"": 130000000.0, ""Fee-based investment management"": 103000000.0, ""Vision fee for service arrangements"": 143000000.0, ""Administrative services-only contracts"": 64000000.0, ""Recordkeeping and administrative services (1)"": 38000000.0, ""Other revenue from service contracts from customers"": 68000000.0}","{""product"": {""Prepaid legal plans"": 130000000.0, ""Fee-based investment management"": 103000000.0, ""Vision fee for service arrangements"": 143000000.0, ""Administrative services-only contracts"": 64000000.0, ""Recordkeeping and administrative services (1)"": 38000000.0, ""Other revenue from service contracts from customers"": 68000000.0}}"
988765463cd149549e766a303419425f,MET,ANNUAL,2020-12-31,67842000000.0000,"{""Prepaid legal plans"": 395000000.0, ""Fee-based investment management"": 318000000.0, ""Administrative services-only contracts"": 218000000.0, ""Vision fee for service arrangements (1)"": 0.0, ""Recordkeeping and administrative services (2)"": 196000000.0, ""Other revenue from service contracts from customers"": 227000000.0}","{""product"": {""Prepaid legal plans"": 395000000.0, ""Fee-based investment management"": 318000000.0, ""Administrative services-only contracts"": 218000000.0, ""Vision fee for service arrangements (1)"": 0.0, ""Recordkeeping and administrative services (2)"": 196000000.0, ""Other revenue from service contracts from customers"": 227000000.0}}"
5108fecdb07d4e47a365171e9c172521,MET,QUARTERLY,2022-09-30,22283000000.0000,"{""Prepaid legal plans"": 118000000.0, ""Fee-based investment management"": 97000000.0, ""Vision fee for service arrangements"": 135000000.0, ""Administrative services-only contracts"": 59000000.0, ""Recordkeeping and administrative services (1)"": 40000000.0, ""Other revenue from service contracts from customers"": 62000000.0}","{""product"": {""Prepaid legal plans"": 118000000.0, ""Fee-based investment management"": 97000000.0, ""Vision fee for service arrangements"": 135000000.0, ""Administrative services-only contracts"": 59000000.0, ""Recordkeeping and administrative services (1)"": 40000000.0, ""Other revenue from service contracts from customers"": 62000000.0}}"
4324274ac3f04aecabbb011194daf973,MET,ANNUAL,2022-12-31,68770000000.0000,"{""ASO contracts"": 238000000.0, ""Prepaid legal plans"": 471000000.0, ""Fee-based investment management"": 396000000.0, ""Vision fee for service arrangements"": 566000000.0, ""Recordkeeping and administrative services (1)"": 168000000.0, ""Other revenue from service contracts from customers"": 271000000.0}","{""product"": {""ASO contracts"": 238000000.0, ""Prepaid legal plans"": 471000000.0, ""Fee-based investment management"": 396000000.0, ""Vision fee for service arrangements"": 566000000.0, ""Recordkeeping and administrative services (1)"": 168000000.0, ""Other revenue from service contracts from customers"": 271000000.0}}"
dc7e702081f24fec96ee04618b9fb649,MET,QUARTERLY,2018-06-30,21185000000.0000,"{""Prepaid legal plans"": 73000000.0, ""Fee-based investment management"": 74000000.0, ""Administrative services-only contracts"": 53000000.0, ""Recordkeeping and administrative services"": 56000000.0, ""Other revenue from service contracts from customers"": 72000000.0}","{""product"": {""Prepaid legal plans"": 73000000.0, ""Fee-based investment management"": 74000000.0, ""Administrative services-only contracts"": 53000000.0, ""Recordkeeping and administrative services"": 56000000.0, ""Other revenue from service contracts from customers"": 72000000.0}, ""segment"": {""Asia"": 2905000000.0, ""EMEA"": 746000000.0, ""U.S."": 13486000000.0, ""Latin America"": 1299000000.0, ""MetLife Holdings"": 2655000000.0, ""Corporate & Other"": 125000000.0}}"
2b60d616961c4cbd85f60ad9925e712d,MET,ANNUAL,2018-12-31,67941000000.0000,"{""Prepaid legal plans"": 296000000.0, ""Fee-based investment management"": 293000000.0, ""Administrative services-only contracts"": 205000000.0, ""Recordkeeping and administrative services"": 221000000.0, ""Other revenue from service contracts from customers"": 241000000.0}","{""product"": {""Prepaid legal plans"": 296000000.0, ""Fee-based investment management"": 293000000.0, ""Administrative services-only contracts"": 205000000.0, ""Recordkeeping and administrative services"": 221000000.0, ""Other revenue from service contracts from customers"": 241000000.0}, ""segment"": {""Asia"": 11764000000.0, ""EMEA"": 2921000000.0, ""U.S."": 37037000000.0, ""Latin America"": 5084000000.0, ""MetLife Holdings"": 10726000000.0, ""Corporate & Other"": 629000000.0}}"
