id,totalDebt
7887ed81af8d41b4a49d0220f9d5a9fd,26432000000.0000
77356f2dab7642969851d3fd10536a75,7268400000.0000
99d4bc160ee046f5b209b0276420f713,24244000000.0000
42d0b601132b489ab721a802301fcb86,26804000000.0000
b52e2d1947054fc2ad8f1a391ce3adc6,23295000000.0000
77d8a4c7ff6e4fb9af05796b69465a30,5635000000.0000
d8b84dfd8649457898cfd1ca24a5374c,3945900000.0000
86d16d037ae9420e9c5938c5eb862ffb,64161000000.0000
dd33ac8e443d4a148926be2c83c67792,0.0000
f594fc9f3ecc4b9b9b45dc9c4eab7022,3493894000.0000
0e66e6f5014847139f9158a233079770,64421000000.0000
fbde8e29f52c48b8be357d6ce7eaa65a,64684000000.0000
884f00a940fa41bfa340bc1130e0802c,281161000000.0000
62006b4121b84e17943b48bd33265c64,3687055000.0000
d5cc13358c1d41a78bde06ac3bb68b97,3954000000.0000
28f8e5eb3bc8426aaba2de9a3f4b1e94,274055000000.0000
bbaa31cccc924dafa866fe5989d348e0,15600000000.0000
c1fc48ae8ffc4531900a81a71c841cbd,1342700000.0000
9c17c3793acc4e8097d94e3ffeeaa314,32460000000.0000
2b87cb36ad3d4d3fa9fa8a165e53e3c8,25061000000.0000
becb2ebafbe2477e8c0c50216967ab7a,12473329000.0000
12c3a3c28e4a4fd4b6ef7654e5ded9eb,301200000000.0000
1f542245d0854333bc1f3270551e66de,15605000000.0000
ec348f202c9f4aed8f69ef01c714fe02,23005000000.0000
6681eebc570a46bc94157e43bcfc341b,7859000000.0000
e8d359dc146441c78cff7d5227b91b96,17582000000.0000
da4f348db5164e4db4abeee064e515d0,5140155000.0000
74a4d58311de4230a42f214e2ca541bd,40050000000.0000
163cdf24ce274ceeb6fb4c6aee0e1ec8,45394000000.0000
b691dba29278436ea0a46f1b8e6d6a09,7611000000.0000
1777180fddee4d51b51567adc3402bd9,36617000000.0000
482d601115b74f4abd45f7e2c885ca2f,
493de953679f4c3197b04605b635f80c,81408000000.0000
ef4f45179b1340ffa65876e83a2b35ca,18970000000.0000
b223c84326bf4b558e3e3fbdfc8aca1f,3229204000.0000
30749ecf02bc47b78c9ab5bd5a50afa5,18983000000.0000
f6959073151e470ca83b69392351f9c0,9713000000.0000
0174f664cd0148b78d52ee7b7016be5b,
27cb544908cb46b5bd12ae4d0efea361,32782000000.0000
660e536b8bd94433a22ae35e67a0312a,2031615000.0000
34b0de77493a42e78ca0d7483210fc72,19000000000.0000
33ecb4d8e9304c539fab0ed43c2ce65f,34882000000.0000
bc7d841e47ed4541ab343e0e3e5072c2,36591000000.0000
d81c46ecfe60496ab40123680bb8fb85,18540000000.0000
48909047d990404f9ce02f88c706d60d,
6e10235686db491a824b9597f691adb4,7921000000.0000
7cd07c6b0cad467e80280b72d05d7800,12266897000.0000
d595de3eb3304ad6829d6e9bc1afbac1,8692617000.0000
15c005fb70f14fe4b960a0d062728468,
49072044a7664e4e8e4b82d2ad879360,4414903000.0000
1185556c463147ee9da5afc8eba157a4,7977526000.0000
fcde1fc5bda84bb68e2168d2316f088c,0.0000
0cdee1fffc4f470582c4d5062cd717d5,2632090000.0000
8ca480a6e6824b98bcd4b54334d8f27d,848782000.0000
9bd32c3dc0c740808e6329239e0cb357,4548635000.0000
966f41d5365b40d09e125634d470aaae,4369000000.0000
5da89bbc8aee4b9797017a32f6f29243,849640000.0000
a5e1f1f2ec57444797c8b5eb4948113a,52541000000.0000
60b1997e1a4c4fd9907c6df94fd16481,
10cf821f7b924259bb72e5ae18c55a12,
600da98f633b4d89be2c4237c9a2baac,4540225000.0000
6bdd69cf5d464db9b24ab606f0a389bb,4225600000.0000
d43483df574f45178a02342d0066ed51,0.0000
bfc562c85e914873b9b74966214b91c3,4504023000.0000
19244b5fef3f464d95ad54ea72a848ab,0.0000
2c3fa992ce2f45acbd71ef1fceb42bed,18143000000.0000
345e9cf09f1b412190aa48072be0dae7,69063000000.0000
b15a9ca68e4f441582f903e317369647,4454598000.0000
0e0b43480385469faa289253da56e363,42915000000.0000
3239f58daa894740a7d2dae62f95a1be,5255300000.0000
653a32190ef0411690775515367a1b65,5536600000.0000
f46eaf5aa2864109b351281f986b45de,5405372000.0000
e4a7d705ffea49358ef389c23a6cc7e1,8514000000.0000
86e92c63857b4ba4b4dc96ffb1db2eaa,10020800000.0000
629ca5b62df543b1a17d070772ffec66,9747400000.0000
d7006c51e4c1486da595da21cabf9084,9380000000.0000
d5d24204fe9142288c2d867d75d72775,11320000000.0000
f43f66509e5a411e8552e138c3e55b62,8798263000.0000
d33122ed16c446e19a7ed577263c4fec,7158000000.0000
3e8d3c79af124dde9d9aa9db61a3cb04,28138000000.0000
db047eed26c84cb09f17913ad12809ee,9005700000.0000
46e26a258f5c408085e91623383daa26,12566000000.0000
33de62c345184581bdfd706957af527e,9258600000.0000
2d2c30d759874975a2abb0cde8a8c3f5,16524000000.0000
1078980b211743ddb91164e95b6cc7dd,37498000000.0000
8314b3bc68ff456cac9ac6bad02cbda9,85665000000.0000
8f1ef1fe3883401fab07632b1909d88e,8738000000.0000
9b4ac77923604181b60b73a50120ad6b,
25483b3fb4ec4067b76e86bf588c9a49,
218c3fb6daaa435296b4e7f91442a435,2102000000.0000
8cdfaebb9e3941ada2aead84b1d96389,8676300000.0000
9dceb95b5692462a8c164ed169755660,8441300000.0000
ada99d5a14c5434e9054be816be57fe3,6492000000.0000
34897b5d6640423c86f12be0955a377e,25971500000.0000
cd6398782ca04ac2909b75d1204c91cd,12545000000.0000
4a116c6c8e734dedaa7a70ede2ff4a7c,6657000000.0000
aa676f468fac45c0a503779bbbdbd951,14103000000.0000
32380a76960242ee881ea40611b757be,13617000000.0000
8d94585c1b4e448eb1756ce2bff82e5f,6615000000.0000
ce313928a4094169a2e947441aef2214,9368000000.0000
3c62cc812a194fe4ad904e58ae17e853,9365000000.0000
217da03fb8ae4aeabc1806be9aae490d,9389000000.0000
58729a13a6074174a76fd37098dcd0e2,19274000000.0000
2b342e7e4df84a9dba5ee0e0584c8b50,20458000000.0000
a88e074badf945458a9b9b9be19986d3,9385000000.0000
b33bf1a5cf8b44baacc23c89a0e3e27e,320500000.0000
e5901c171de8496eb8c956b0b5986b9a,14546000000.0000
0a28499f6b4a42ebbef6d5ce9d610762,18625000000.0000
d04f5c8a97814cc6a1a4bf690c94c86a,14442000000.0000
ef7d7ff3190e460787f5a37c2bd151a0,
37c628e0b2514a22a3616e983910f404,1279000000.0000
f3f210dfbe144515a27ca40b91ab426a,7075700000.0000
21b90114ad2f4f8f85596b0c5814a12b,3093000000.0000
f787e0de6803471f8039890743baae62,2040000000.0000
a3fff91b74ea482580e4887467851c96,2036000000.0000
39e14964c14745e894a7fe480046e316,19677000000.0000
f96ba1a80bba4c639fd54ab0d79176af,32547000000.0000
f9af89e7dde94344948285a9dca90459,
48fe72968c7b4f04954b02c660636cff,2032000000.0000
2a54d787fa874d72a423ddaac24cda54,5680000000.0000
925d97d8ab324e4ba75f3f05ad8cf1e1,5243000000.0000
6229d58e230f4c0fbb183a73cd720cb4,5122000000.0000
6f2454a9ed6944188bf10652c4386e83,5009000000.0000
5bd8973fb4e94f3a81701d9ab2fa7cee,9974000000.0000
0d4f51966ba149ebac903eb18f5ccb1a,5008000000.0000
f5b20b577ce34ea082c6699a91e7e864,11555000000.0000
253ad15640314eae8c0e10a17ecda4ea,1884074000.0000
0ec7288c340d4ec892e22cbff05b1bbc,1888398000.0000
f23e8514d5734b399411d9faec704e66,
dfad63aff84f4b0382f1359bd405bbe4,6357000000.0000
3314cc17da6247f68fe366d0fede3bb7,11246000000.0000
ac4229b3d82c4613b72385ab4c54e098,4283300000.0000
4f4cb4c6eeba4145898119368ee7c68e,29826000000.0000
fa2f0f805e7b495f8b6e8c43ed82679f,3991000000.0000
b8f87da6e6fb4d78a124ac616ce582ef,2434200000.0000
c782c54fd19d48caba5446c801b2cb43,2436000000.0000
4694313b434b4824a3b10678df54dada,2437800000.0000
d6fc7c9b424f4695b7b878a700dcf45b,2433199000.0000
5d317be4429f405ab38d014d95b502ba,2000000000.0000
2f58beb1a18f47f1a5d7bf37607f07e3,2700000000.0000
c187672832cb4fad9184db8fa9b0ce93,608000000.0000
e19ff459d33d4a27901c73a7d293f0d6,2949154000.0000
892f671a7ad944b1b3cbe7c21e600f8e,0.0000
c3ebbbe1e65f4696bc81dca0e1a35515,0.0000
69edb71af2f44b40be4bdcc5f45b0796,0.0000
82919cce87dd423d957c6dad189b177a,0.0000
8a4188f9d23d4e1cb845b4a8e1687ed1,5301513000.0000
58213415e5bf41de811f8ec309cf2b15,0.0000
0c7119d14f594c73bf278a0480d54f12,0.0000
298c17ee43354dd4b9f79ca3fb0f82bb,0.0000
3a3161daf871429aa708053e22111474,11620000000.0000
9f8513f5a6ce422290208d8aceef9ccf,4495000000.0000
4f8daa70673141e7a821fc3b42080101,20602000000.0000
827d1d6336784373be1fdab05eb89aca,2682793000.0000
4e1e1995cf724312aee252e858774a14,2413620000.0000
482f57d30391437fbc05eb8299d1e52f,0.0000
2ea1de5237c64f33aef37c18bc0689db,0.0000
