id,minorityInterest
2b87cb36ad3d4d3fa9fa8a165e53e3c8,1056000000.0000
becb2ebafbe2477e8c0c50216967ab7a,10244683000.0000
12c3a3c28e4a4fd4b6ef7654e5ded9eb,758000000.0000
1f542245d0854333bc1f3270551e66de,
ec348f202c9f4aed8f69ef01c714fe02,1008000000.0000
6681eebc570a46bc94157e43bcfc341b,
e8d359dc146441c78cff7d5227b91b96,
da4f348db5164e4db4abeee064e515d0,
74a4d58311de4230a42f214e2ca541bd,371000000.0000
163cdf24ce274ceeb6fb4c6aee0e1ec8,
b691dba29278436ea0a46f1b8e6d6a09,
1777180fddee4d51b51567adc3402bd9,0.0000
482d601115b74f4abd45f7e2c885ca2f,
493de953679f4c3197b04605b635f80c,
ef4f45179b1340ffa65876e83a2b35ca,
b223c84326bf4b558e3e3fbdfc8aca1f,121439000.0000
30749ecf02bc47b78c9ab5bd5a50afa5,
f6959073151e470ca83b69392351f9c0,
0174f664cd0148b78d52ee7b7016be5b,
27cb544908cb46b5bd12ae4d0efea361,
660e536b8bd94433a22ae35e67a0312a,2145629000.0000
34b0de77493a42e78ca0d7483210fc72,
33ecb4d8e9304c539fab0ed43c2ce65f,
bc7d841e47ed4541ab343e0e3e5072c2,
d81c46ecfe60496ab40123680bb8fb85,
48909047d990404f9ce02f88c706d60d,
6e10235686db491a824b9597f691adb4,
7cd07c6b0cad467e80280b72d05d7800,
d595de3eb3304ad6829d6e9bc1afbac1,
15c005fb70f14fe4b960a0d062728468,
49072044a7664e4e8e4b82d2ad879360,184659000.0000
1185556c463147ee9da5afc8eba157a4,
fcde1fc5bda84bb68e2168d2316f088c,
0cdee1fffc4f470582c4d5062cd717d5,
8ca480a6e6824b98bcd4b54334d8f27d,
9bd32c3dc0c740808e6329239e0cb357,
966f41d5365b40d09e125634d470aaae,
5da89bbc8aee4b9797017a32f6f29243,
a5e1f1f2ec57444797c8b5eb4948113a,
60b1997e1a4c4fd9907c6df94fd16481,
10cf821f7b924259bb72e5ae18c55a12,
600da98f633b4d89be2c4237c9a2baac,185884000.0000
6bdd69cf5d464db9b24ab606f0a389bb,285100000.0000
d43483df574f45178a02342d0066ed51,
bfc562c85e914873b9b74966214b91c3,
19244b5fef3f464d95ad54ea72a848ab,8767000000.0000
2c3fa992ce2f45acbd71ef1fceb42bed,
345e9cf09f1b412190aa48072be0dae7,
b15a9ca68e4f441582f903e317369647,220894000.0000
0e0b43480385469faa289253da56e363,
3239f58daa894740a7d2dae62f95a1be,335700000.0000
653a32190ef0411690775515367a1b65,
f46eaf5aa2864109b351281f986b45de,156392000.0000
e4a7d705ffea49358ef389c23a6cc7e1,
86e92c63857b4ba4b4dc96ffb1db2eaa,
629ca5b62df543b1a17d070772ffec66,
d7006c51e4c1486da595da21cabf9084,
d5d24204fe9142288c2d867d75d72775,
f43f66509e5a411e8552e138c3e55b62,
d33122ed16c446e19a7ed577263c4fec,
3e8d3c79af124dde9d9aa9db61a3cb04,
db047eed26c84cb09f17913ad12809ee,
46e26a258f5c408085e91623383daa26,
33de62c345184581bdfd706957af527e,
2d2c30d759874975a2abb0cde8a8c3f5,
1078980b211743ddb91164e95b6cc7dd,
8314b3bc68ff456cac9ac6bad02cbda9,
8f1ef1fe3883401fab07632b1909d88e,
9b4ac77923604181b60b73a50120ad6b,
25483b3fb4ec4067b76e86bf588c9a49,
218c3fb6daaa435296b4e7f91442a435,
8cdfaebb9e3941ada2aead84b1d96389,
9dceb95b5692462a8c164ed169755660,
ada99d5a14c5434e9054be816be57fe3,
34897b5d6640423c86f12be0955a377e,
cd6398782ca04ac2909b75d1204c91cd,
4a116c6c8e734dedaa7a70ede2ff4a7c,
aa676f468fac45c0a503779bbbdbd951,
32380a76960242ee881ea40611b757be,
8d94585c1b4e448eb1756ce2bff82e5f,
ce313928a4094169a2e947441aef2214,
3c62cc812a194fe4ad904e58ae17e853,
217da03fb8ae4aeabc1806be9aae490d,
58729a13a6074174a76fd37098dcd0e2,
2b342e7e4df84a9dba5ee0e0584c8b50,
a88e074badf945458a9b9b9be19986d3,
b33bf1a5cf8b44baacc23c89a0e3e27e,
e5901c171de8496eb8c956b0b5986b9a,
0a28499f6b4a42ebbef6d5ce9d610762,
d04f5c8a97814cc6a1a4bf690c94c86a,
f3f210dfbe144515a27ca40b91ab426a,
ef7d7ff3190e460787f5a37c2bd151a0,
37c628e0b2514a22a3616e983910f404,
21b90114ad2f4f8f85596b0c5814a12b,
